"category","texts"
"Thai","This is one of the nicest Thai restaurants I've been to! It has amazing views of the city's skyline. 

I met a couple of colleagues here for lunch and...This place is definitely my go-to for thai in the area. They also have frequent specials so it doesn't get boring. I have a friend that was in Thailand for...Everything about this place is amazing; the customer service, the ambiance, the food.Given the decor and mood of the restaurant you would think that the..."
"Mediterranean","I ordered through UberEats last week and I think I'm going to stop here on my way home today (or be lazy and get UberEats again). I got the chicken shawarma...Since it's been well over 5 years since I last dined at Ameer's Mediterranean Grill, I figured it was time to pay the casual restaurant another visit.

That...Came with my sister and her kiddos. The portions are good, the food is flavorful, and the atmosphere is very quaint. We ordered the lamb hummus and the..."
"Mediterranean","Bezoria is one of my very favorite lunch/dinner spots in Atlanta! I would petition to have a Bezoria replace every fast-casual Mexican spot if I had that...Bezoria is one of my midtown go-to lunch spots. I love that I can grab a salad and feel healthy or get something a bit heartier. 

The fries with the curry...Bezoria's hummus bowls make frequent appearances in my fiance and I's takeout rotation. The hummus has a deliciously creamy texture and has a earthy..."
"American (New)","Wow. We showed up at 11:40 but we didn't have a reservation and the next available table was at 2 PM. We were lucky there were 5 open seats at the prep...I had high hopes for Serpas but sadly, I have to leave this review: 

My boyfriend and I made Valentine's Day reservations for 9:00. We walked in around...We had a delicious brunch with another couple today 

Service was great 
Food portion was very generous and the TASTE was on point 
Warm syrup served..."
"Mediterranean","Absolutely Wonderful service and even better food.My most fave Greek spot in this entire world . Donner, Greek salad with Greek Ff and so much garlic in that hummus holy crap it's sooo good and the best...My girl knows how much I love Gyros and was pretty disappointed that I knew nothing about Nick's as they are by far the most authentic Greek sandwich shop..."
"American (New)","Miler Union (""MU"") does not disappoint. From service to food, ambiance to wine list, MU crushes every category. Chef Steven Satterfield has done an amazing...If i could give zero stars, i would.
I had such high hopes after reading several reviews but it turned out to be a major fiasco.
This was a belated birthday...Visited this place on a Friday at 8:15pm. The place was packed so a reservation is highly recommended. 


We (party of two) started with the baby kale dish..."
"American (New)","Sometimes food places have too many options. This is not the case at Gusto. 6 essential flavors, choose one, choose a protein, and go baby go. Sure you can...I was at Hotel Clermont for a game night event and noticed Gusto was across the street. It had been on my list of restaurants to check out so I figured this...Talk about healthy AND mouthwatering?!?!

There's a growing trend of fresh 'bowl' fast casual eateries springing up in Atl. over the past 4-5 years, for the..."
"American (Traditional)","Jeff was a consummate professional waiter - exceptional in his craft  - 
 the Louisiana flair to many menu items are great - 

Osso Bucco was Huge ; next...I ate here last night in a party of 8 and must say that I was very happy with the level of service we received.  The majority of our party was already...I give it one star due to the smoking!!!!  The downstairs bar is HORRIBLE!!! Cigar, pipe and cigarettes are allowed.  For a non smoker it will cause your..."
"American (New)","My wife and I stopped here for dinner. When I called to make my reservation my first question was ""At what time do you close?"" and their answer was when the...This restaurant was very good! The food was excellent, and the portion sizes were perfect (not your average huge portions you feel obligated to finish). I...Came here for dinner on a Thursday without reservation, luckily, we don't have to wait. The restaurant is bigger than what it looks like from the outside...."
"American (New)","SERVICE: 
Both times I've been here, the service has been exceptional. The waiters and waitresses know the specials by heart, always make great...Marlow's has always come through in the clutch for me. As soon as my Wife and I landed we checked in to see if the shrimp and crab nachos were still good....I live across the street from Marlowe's, so I come here with some regularity.  I always sit at the bar - Benton and Parks are nice guys to chat with when..."
"Italian","No-knees. How I love thee! 
I don't know what it is about this place but the vibes are always right! Whether I'm there to eat or party, the patrons and...This was my very first time here. I came here on a whim for lunch. Now the area might be sketchy as hell but once you walk in the front door, you are...If you have lived in Boston or Baltimore with a historically large Italian-Immigrant population and were spoiled by the large number of delicious delis, you..."
